Name,Country,Description,Launch_Date,Founders,Revenue_Year_1,Revenue_Year_2,Revenue_Year_3,Current_Status
NextGen HealthTech Systems 259,Brazil,A leading Brazil-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2018-04-03,Priya Sharma,$320k,$1.8M,$5.7M,Failed
Zenith EdTech Hub 260,France,A leading France-based EdTech startup specializing in scalable and innovative solutions for the global market.,2013-02-02,"Rohan Das, Vikram Singh",$180k,$771k,$11.4M,Successful
Elite Cybersecurity Labs 261,UAE,A leading UAE-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2019-07-09,"Aisha Khan, Sanjay Gupta",$135k,$1.3M,$7.8M,Successful
Smart EdTech Hub 262,South Korea,A leading South Korea-based EdTech startup specializing in scalable and innovative solutions for the global market.,2015-08-11,Rohan Das,$281k,$1.1M,$5.1M,Failed
Elite PropTech Solutions 263,Singapore,A leading Singapore-based PropTech startup specializing in scalable and innovative solutions for the global market.,2014-04-18,"Rohan Das, Arjun Mehta, Vikram Singh",$199k,$1.6M,$6.7M,Failed
Quantum Cybersecurity Systems 264,Canada,A leading Canada-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2012-03-25,"Priya Sharma, Michael O'Connor",$90k,$1.3M,$10.6M,Successful
Quantum SaaS Nexus 265,Israel,A leading Israel-based SaaS startup specializing in scalable and innovative solutions for the global market.,2016-08-22,"Arjun Mehta, Michael O'Connor",$105k,$2.0M,$10.5M,Successful
Core CleanTech Systems 266,Germany,A leading Germany-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2018-08-15,Sarah Jenkins,$175k,$1.4M,$3.1M,Successful
Apex CleanTech Systems 267,France,A leading France-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2018-07-11,"Michael O'Connor, Elena Rossi",$331k,$204k,$9.9M,Successful
Global BioTech Technologies 268,UK,A leading UK-based BioTech startup specializing in scalable and innovative solutions for the global market.,2015-12-01,Vikram Singh,$327k,$121k,$13.7M,Acquired
NextGen AgriTech Wave 269,Israel,A leading Israel-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2019-09-22,Kavita Reddy,$280k,$1.5M,$9.1M,Successful
Smart E-commerce Systems 270,India,A leading India-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2021-06-11,"Elena Rossi, Arjun Mehta",$0,$755k,$1.7M,Successful
Quantum PropTech Systems 271,Israel,A leading Israel-based PropTech startup specializing in scalable and innovative solutions for the global market.,2010-01-21,"Anjali Rao, Sarah Jenkins, Li Wei",$279k,$1.5M,$3.4M,Failed
NextGen Logistics Wave 272,France,A leading France-based Logistics startup specializing in scalable and innovative solutions for the global market.,2017-09-01,David Chen,$500k,$131k,$4.9M,Failed
Core HealthTech Technologies 273,UK,A leading UK-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2016-08-02,"Arjun Mehta, Sanjay Gupta",$407k,$1.0M,$10.4M,Acquired
Elite Logistics Point 274,Japan,A leading Japan-based Logistics startup specializing in scalable and innovative solutions for the global market.,2014-04-22,Rohan Das,$353k,$912k,$3.3M,Successful
NextGen FinTech Nexus 275,Israel,A leading Israel-based FinTech startup specializing in scalable and innovative solutions for the global market.,2016-10-01,Kavita Reddy,$459k,$1.8M,$6.9M,Acquired
Global AI/ML Point 276,Germany,A leading Germany-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2010-03-02,"Sanjay Gupta, David Chen, Anjali Rao",$420k,$1.0M,$11.6M,Successful
Core FinTech Wave 277,France,A leading France-based FinTech startup specializing in scalable and innovative solutions for the global market.,2016-05-27,"Rohan Das, Aisha Khan, Sarah Jenkins",$333k,$1.5M,$10.8M,Successful
Prime AI/ML Systems 278,UAE,A leading UAE-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2010-07-17,"Rohan Das, Vikram Singh, Anjali Rao",$387k,$2.0M,$14.6M,Acquired
Quantum Cybersecurity Labs 279,Australia,A leading Australia-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2014-07-27,"Sarah Jenkins, David Chen",$46k,$1.2M,$14.6M,Failed
NextGen FinTech Flow 280,Brazil,A leading Brazil-based FinTech startup specializing in scalable and innovative solutions for the global market.,2015-01-08,"David Chen, Vikram Singh, Kavita Reddy",$162k,$1.0M,$14.1M,Acquired
Prime AgriTech Labs 281,India,A leading India-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2019-04-15,"Arjun Mehta, David Chen",$122k,$1.5M,$12.0M,Successful
Smart EdTech Nexus 282,South Korea,A leading South Korea-based EdTech startup specializing in scalable and innovative solutions for the global market.,2014-03-20,"Li Wei, Michael O'Connor, Priya Sharma",$435k,$1.6M,$15.0M,Successful
Apex FinTech Point 283,Australia,A leading Australia-based FinTech startup specializing in scalable and innovative solutions for the global market.,2012-09-25,"David Chen, Emma Wilson, Elena Rossi",$365k,$1.7M,$13.9M,Acquired
Nova CleanTech Solutions 284,Brazil,A leading Brazil-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2015-08-13,Rohan Das,$251k,$1.8M,$13.8M,Successful
Apex EdTech Hub 285,USA,A leading USA-based EdTech startup specializing in scalable and innovative solutions for the global market.,2018-04-10,"Sarah Jenkins, Arjun Mehta, David Chen",$129k,$1.8M,$9.6M,Successful
Prime SaaS Flow 286,India,A leading India-based SaaS startup specializing in scalable and innovative solutions for the global market.,2022-01-13,Aisha Khan,$422k,$853k,$11.0M,Successful
Zenith Logistics Nexus 287,UK,A leading UK-based Logistics startup specializing in scalable and innovative solutions for the global market.,2022-05-05,"Michael O'Connor, Aisha Khan, Rohan Das",$324k,$270k,$6.0M,Acquired
Smart BioTech Flow 288,South Korea,A leading South Korea-based BioTech startup specializing in scalable and innovative solutions for the global market.,2010-07-09,Vikram Singh,$98k,$691k,$7.7M,Successful
Elite Cybersecurity Technologies 289,UK,A leading UK-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2016-07-09,"Anjali Rao, Vikram Singh",$149k,$455k,$9.3M,Successful
Prime AgriTech Technologies 290,Singapore,A leading Singapore-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2020-05-18,"Sarah Jenkins, Sanjay Gupta, Michael O'Connor",$127k,$1.4M,$9.5M,Acquired
Global BioTech Labs 291,France,A leading France-based BioTech startup specializing in scalable and innovative solutions for the global market.,2022-02-14,Elena Rossi,$116k,$1.0M,$11.7M,Successful
Elite E-commerce Nexus 292,USA,A leading USA-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2020-11-26,Michael O'Connor,$265k,$1.9M,$13.9M,Successful
Elite SaaS Flow 293,UK,A leading UK-based SaaS startup specializing in scalable and innovative solutions for the global market.,2022-11-26,Elena Rossi,$25k,$1.1M,$11.0M,Successful
Global FinTech Wave 294,Canada,A leading Canada-based FinTech startup specializing in scalable and innovative solutions for the global market.,2013-05-18,Rohan Das,$215k,$1.2M,$14.0M,Successful
Core HealthTech Wave 295,UK,A leading UK-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2013-10-03,Elena Rossi,$137k,$1.9M,$10.2M,Successful
Quantum AI/ML Flow 296,Singapore,A leading Singapore-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2021-08-15,"Elena Rossi, Sanjay Gupta",$410k,$554k,$13.8M,Successful
Core PropTech Solutions 297,Israel,A leading Israel-based PropTech startup specializing in scalable and innovative solutions for the global market.,2018-04-13,"Vikram Singh, Rohan Das, Li Wei",$328k,$1.5M,$6.7M,Successful
Prime HealthTech Solutions 298,UAE,A leading UAE-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2018-11-12,"Sarah Jenkins, Vikram Singh, Elena Rossi",$499k,$1.4M,$14.7M,Successful
Prime SaaS Systems 299,Brazil,A leading Brazil-based SaaS startup specializing in scalable and innovative solutions for the global market.,2013-12-06,Aisha Khan,$299k,$1.7M,$2.3M,Failed
Global PropTech Systems 300,UK,A leading UK-based PropTech startup specializing in scalable and innovative solutions for the global market.,2017-12-17,"Vikram Singh, Arjun Mehta",$450k,$1.0M,$11.9M,Successful
Nova FinTech Systems 301,Brazil,A leading Brazil-based FinTech startup specializing in scalable and innovative solutions for the global market.,2020-10-27,"Kavita Reddy, Li Wei",$236k,$1.9M,$8.6M,Acquired
Smart HealthTech Nexus 302,UK,A leading UK-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2016-01-24,Vikram Singh,$182k,$861k,$7.0M,Successful
Zenith SaaS Nexus 303,Germany,A leading Germany-based SaaS startup specializing in scalable and innovative solutions for the global market.,2022-12-04,"Vikram Singh, Sanjay Gupta",$228k,$750k,$6.1M,Failed
Quantum PropTech Labs 304,South Korea,A leading South Korea-based PropTech startup specializing in scalable and innovative solutions for the global market.,2013-09-28,"David Chen, Emma Wilson, Rohan Das",$386k,$542k,$8.3M,Failed
Prime BioTech Technologies 305,Australia,A leading Australia-based BioTech startup specializing in scalable and innovative solutions for the global market.,2019-10-22,"Emma Wilson, David Chen",$248k,$653k,$10.6M,Successful
Core FinTech Flow 306,Canada,A leading Canada-based FinTech startup specializing in scalable and innovative solutions for the global market.,2012-01-04,"Emma Wilson, Sarah Jenkins, Elena Rossi",$169k,$1.3M,$11.2M,Successful
Apex Logistics Technologies 307,Australia,A leading Australia-based Logistics startup specializing in scalable and innovative solutions for the global market.,2019-09-23,"Arjun Mehta, Emma Wilson",$290k,$1.1M,$10.9M,Failed
Core AgriTech Systems 308,India,A leading India-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2022-02-09,Michael O'Connor,$396k,$210k,$9.9M,Successful
Zenith CleanTech Wave 309,USA,A leading USA-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2012-05-14,"Emma Wilson, Sarah Jenkins",$111k,$467k,$13.7M,Failed
Core Logistics Solutions 310,Brazil,A leading Brazil-based Logistics startup specializing in scalable and innovative solutions for the global market.,2016-02-15,"Aisha Khan, Elena Rossi",$385k,$1.4M,$12.5M,Failed
Prime PropTech Flow 311,Singapore,A leading Singapore-based PropTech startup specializing in scalable and innovative solutions for the global market.,2018-04-05,Emma Wilson,$457k,$227k,$7.0M,Successful
Elite FinTech Wave 312,South Korea,A leading South Korea-based FinTech startup specializing in scalable and innovative solutions for the global market.,2022-08-17,"Michael O'Connor, Emma Wilson",$76k,$580k,$6.7M,Successful
NextGen AI/ML Flow 313,USA,A leading USA-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2010-06-06,"Anjali Rao, Priya Sharma, Sanjay Gupta",$405k,$953k,$3.8M,Successful
Elite PropTech Hub 314,India,A leading India-based PropTech startup specializing in scalable and innovative solutions for the global market.,2014-03-06,"David Chen, Michael O'Connor",$404k,$1.4M,$10.5M,Successful
Smart PropTech Wave 315,UAE,A leading UAE-based PropTech startup specializing in scalable and innovative solutions for the global market.,2012-06-16,Emma Wilson,$383k,$1.4M,$8.3M,Successful
Core Cybersecurity Technologies 316,UK,A leading UK-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2021-04-05,Emma Wilson,$62k,$1.1M,$11.4M,Successful
NextGen Logistics Flow 317,UK,A leading UK-based Logistics startup specializing in scalable and innovative solutions for the global market.,2020-10-25,"Michael O'Connor, Aisha Khan, Anjali Rao",$72k,$1.7M,$6.8M,Successful
Elite BioTech Flow 318,Australia,A leading Australia-based BioTech startup specializing in scalable and innovative solutions for the global market.,2014-05-18,"Vikram Singh, Aisha Khan",$212k,$607k,$5.6M,Successful
Apex SaaS Technologies 319,UAE,A leading UAE-based SaaS startup specializing in scalable and innovative solutions for the global market.,2013-12-03,"Sanjay Gupta, Vikram Singh, Aisha Khan",$465k,$1.1M,$5.3M,Acquired
NextGen FinTech Systems 320,USA,A leading USA-based FinTech startup specializing in scalable and innovative solutions for the global market.,2013-07-27,"Sanjay Gupta, Anjali Rao, Emma Wilson",$453k,$1.1M,$12.9M,Acquired
Apex Cybersecurity Solutions 321,UAE,A leading UAE-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2010-07-21,"Michael O'Connor, Priya Sharma, Rohan Das",$200k,$1.5M,$14.9M,Successful
Smart EdTech Point 322,India,A leading India-based EdTech startup specializing in scalable and innovative solutions for the global market.,2010-08-18,Elena Rossi,$115k,$1.8M,$2.7M,Acquired
Apex Logistics Solutions 323,France,A leading France-based Logistics startup specializing in scalable and innovative solutions for the global market.,2017-05-13,"Vikram Singh, Rohan Das, David Chen",$107k,$1.9M,$4.0M,Successful
Smart FinTech Network 324,Canada,A leading Canada-based FinTech startup specializing in scalable and innovative solutions for the global market.,2014-07-02,"Emma Wilson, Li Wei, Sanjay Gupta",$154k,$858k,$12.3M,Successful
Smart FinTech Nexus 325,UAE,A leading UAE-based FinTech startup specializing in scalable and innovative solutions for the global market.,2016-02-08,"Vikram Singh, David Chen, Priya Sharma",$132k,$1.1M,$13.8M,Failed
Apex SaaS Wave 326,Singapore,A leading Singapore-based SaaS startup specializing in scalable and innovative solutions for the global market.,2011-10-28,"Anjali Rao, Aisha Khan, Emma Wilson",$337k,$1.5M,$11.5M,Successful
Quantum E-commerce Solutions 327,South Korea,A leading South Korea-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2015-08-28,"Elena Rossi, Emma Wilson",$174k,$1.5M,$3.5M,Failed
Smart FinTech Labs 328,Singapore,A leading Singapore-based FinTech startup specializing in scalable and innovative solutions for the global market.,2013-12-12,"Elena Rossi, Priya Sharma, Aisha Khan",$107k,$1.6M,$3.6M,Acquired
Prime AgriTech Hub 329,Germany,A leading Germany-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2010-03-06,"Aisha Khan, Sanjay Gupta",$95k,$1.2M,$6.7M,Successful
Apex AI/ML Technologies 330,Australia,A leading Australia-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2012-03-08,"Anjali Rao, Michael O'Connor, Aisha Khan",$234k,$504k,$12.6M,Successful
Elite Logistics Flow 331,South Korea,A leading South Korea-based Logistics startup specializing in scalable and innovative solutions for the global market.,2018-05-23,"Li Wei, Emma Wilson, Sanjay Gupta",$110k,$357k,$8.5M,Successful
Elite FinTech Solutions 332,Australia,A leading Australia-based FinTech startup specializing in scalable and innovative solutions for the global market.,2019-04-20,Priya Sharma,$198k,$1.5M,$1.6M,Successful
Nova BioTech Hub 333,Canada,A leading Canada-based BioTech startup specializing in scalable and innovative solutions for the global market.,2017-02-19,"Li Wei, David Chen, Arjun Mehta",$465k,$1.7M,$10.4M,Successful
NextGen FinTech Flow 334,India,A leading India-based FinTech startup specializing in scalable and innovative solutions for the global market.,2019-06-19,Michael O'Connor,$106k,$1.0M,$13.6M,Successful
Core Cybersecurity Network 335,Japan,A leading Japan-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2018-05-04,"Arjun Mehta, Kavita Reddy, Michael O'Connor",$225k,$259k,$2.4M,Successful
Core FinTech Hub 336,Israel,A leading Israel-based FinTech startup specializing in scalable and innovative solutions for the global market.,2013-01-25,Kavita Reddy,$289k,$1.3M,$11.2M,Failed
Core Logistics Flow 337,USA,A leading USA-based Logistics startup specializing in scalable and innovative solutions for the global market.,2015-04-12,Sanjay Gupta,$408k,$1.3M,$2.7M,Failed
Nova EdTech Flow 338,Singapore,A leading Singapore-based EdTech startup specializing in scalable and innovative solutions for the global market.,2011-11-01,"Sanjay Gupta, Vikram Singh",$18k,$968k,$14.4M,Failed
Smart CleanTech Systems 339,Israel,A leading Israel-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2020-02-10,"Kavita Reddy, Michael O'Connor, Priya Sharma",$467k,$135k,$4.0M,Successful
NextGen SaaS Flow 340,Israel,A leading Israel-based SaaS startup specializing in scalable and innovative solutions for the global market.,2014-02-24,"Kavita Reddy, Michael O'Connor",$493k,$404k,$10.8M,Successful
Quantum EdTech Systems 341,Japan,A leading Japan-based EdTech startup specializing in scalable and innovative solutions for the global market.,2018-11-08,Vikram Singh,$316k,$1.8M,$14.2M,Acquired
Elite E-commerce Network 342,UK,A leading UK-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2012-12-20,David Chen,$445k,$1.3M,$4.3M,Successful
NextGen E-commerce Wave 343,Singapore,A leading Singapore-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2021-07-06,Aisha Khan,$275k,$193k,$6.4M,Acquired
Core EdTech Wave 344,Australia,A leading Australia-based EdTech startup specializing in scalable and innovative solutions for the global market.,2016-02-25,Rohan Das,$449k,$1.3M,$7.6M,Failed
Smart PropTech Hub 345,UK,A leading UK-based PropTech startup specializing in scalable and innovative solutions for the global market.,2014-03-04,"Aisha Khan, Anjali Rao, Sarah Jenkins",$415k,$1.2M,$10.2M,Failed
NextGen Cybersecurity Flow 346,France,A leading France-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2017-03-27,"Arjun Mehta, Li Wei, Kavita Reddy",$321k,$1.6M,$11.1M,Successful
Nova PropTech Systems 347,India,A leading India-based PropTech startup specializing in scalable and innovative solutions for the global market.,2016-08-16,Michael O'Connor,$477k,$1.8M,$5.4M,Acquired
Quantum CleanTech Network 348,France,A leading France-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2015-09-18,Sanjay Gupta,$139k,$997k,$13.2M,Failed
Core EdTech Network 349,Japan,A leading Japan-based EdTech startup specializing in scalable and innovative solutions for the global market.,2017-09-20,"Li Wei, Sarah Jenkins",$88k,$764k,$5.2M,Successful
NextGen AI/ML Solutions 350,France,A leading France-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2013-03-07,Anjali Rao,$364k,$261k,$9.1M,Successful
Global CleanTech Nexus 351,UK,A leading UK-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2014-10-01,"Aisha Khan, Rohan Das",$448k,$1.8M,$8.4M,Successful
Zenith AI/ML Systems 352,USA,A leading USA-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2011-01-26,Rohan Das,$273k,$1.3M,$12.1M,Successful
Nova EdTech Solutions 353,Australia,A leading Australia-based EdTech startup specializing in scalable and innovative solutions for the global market.,2014-11-12,"Emma Wilson, Sarah Jenkins",$351k,$2.0M,$3.2M,Successful
Smart BioTech Labs 354,Canada,A leading Canada-based BioTech startup specializing in scalable and innovative solutions for the global market.,2013-12-16,"Anjali Rao, Sarah Jenkins",$396k,$1.6M,$9.0M,Successful
NextGen SaaS Labs 355,Japan,A leading Japan-based SaaS startup specializing in scalable and innovative solutions for the global market.,2017-03-14,"Li Wei, Arjun Mehta, Michael O'Connor",$472k,$658k,$6.0M,Successful
Smart E-commerce Solutions 356,UAE,A leading UAE-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2011-08-20,"Arjun Mehta, Aisha Khan, Priya Sharma",$409k,$176k,$12.4M,Successful
Prime E-commerce Nexus 357,Israel,A leading Israel-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2011-11-01,"Li Wei, Michael O'Connor, Kavita Reddy",$154k,$129k,$11.6M,Successful
Nova AI/ML Flow 358,Singapore,A leading Singapore-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2016-08-09,Kavita Reddy,$390k,$1.0M,$12.2M,Acquired
Global BioTech Systems 359,UK,A leading UK-based BioTech startup specializing in scalable and innovative solutions for the global market.,2012-09-04,"Anjali Rao, David Chen, Arjun Mehta",$254k,$1.2M,$12.7M,Successful
Prime BioTech Wave 360,South Korea,A leading South Korea-based BioTech startup specializing in scalable and innovative solutions for the global market.,2019-10-22,"Vikram Singh, Arjun Mehta, Elena Rossi",$470k,$1.9M,$9.0M,Successful
Global E-commerce Hub 361,Singapore,A leading Singapore-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2018-12-08,"David Chen, Anjali Rao",$106k,$251k,$2.6M,Acquired
Prime AI/ML Nexus 362,France,A leading France-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2013-07-19,"Elena Rossi, Kavita Reddy",$414k,$693k,$5.0M,Successful
Prime BioTech Flow 363,Brazil,A leading Brazil-based BioTech startup specializing in scalable and innovative solutions for the global market.,2015-03-22,Rohan Das,$7k,$535k,$11.9M,Acquired
Smart SaaS Network 364,Brazil,A leading Brazil-based SaaS startup specializing in scalable and innovative solutions for the global market.,2018-08-11,Emma Wilson,$91k,$119k,$2.1M,Successful
Nova E-commerce Labs 365,Brazil,A leading Brazil-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2012-06-06,Vikram Singh,$252k,$749k,$12.0M,Failed
Nova SaaS Point 366,UK,A leading UK-based SaaS startup specializing in scalable and innovative solutions for the global market.,2014-06-13,"Vikram Singh, David Chen",$457k,$1.7M,$13.8M,Successful
Elite AgriTech Technologies 367,India,A leading India-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2010-07-23,"Emma Wilson, Rohan Das",$43k,$1.2M,$9.0M,Successful
Prime AgriTech Wave 368,Germany,A leading Germany-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2011-01-11,"Li Wei, Aisha Khan",$481k,$280k,$14.8M,Successful
Smart FinTech Point 369,Germany,A leading Germany-based FinTech startup specializing in scalable and innovative solutions for the global market.,2021-07-07,"David Chen, Elena Rossi, Aisha Khan",$214k,$1.7M,$4.7M,Successful
Nova EdTech Systems 370,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,2010-06-18,Vikram Singh,$314k,$351k,$12.6M,Successful
Elite BioTech Technologies 371,India,A leading India-based BioTech startup specializing in scalable and innovative solutions for the global market.,2013-09-28,Arjun Mehta,$451k,$392k,$14.0M,Successful
Elite Logistics Solutions 372,Australia,A leading Australia-based Logistics startup specializing in scalable and innovative solutions for the global market.,2018-12-08,"Vikram Singh, Aisha Khan",$183k,$235k,$10.3M,Successful
Zenith AgriTech Labs 373,South Korea,A leading South Korea-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2011-03-20,"Aisha Khan, Michael O'Connor, Elena Rossi",$377k,$1.5M,$3.6M,Successful
Quantum HealthTech Network 374,South Korea,A leading South Korea-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2020-04-06,Li Wei,$394k,$199k,$12.9M,Successful
Zenith CleanTech Wave 375,Australia,A leading Australia-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2010-11-12,"Sanjay Gupta, Aisha Khan",$342k,$724k,$3.0M,Successful
Zenith AgriTech Solutions 376,Japan,A leading Japan-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2010-11-08,"Priya Sharma, Sanjay Gupta",$68k,$723k,$6.5M,Successful
Global AgriTech Hub 377,UAE,A leading UAE-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2021-07-05,"Vikram Singh, Emma Wilson, Kavita Reddy",$131k,$1.3M,$1.7M,Acquired
Core Logistics Wave 378,India,A leading India-based Logistics startup specializing in scalable and innovative solutions for the global market.,2017-02-06,"Sarah Jenkins, Kavita Reddy, Priya Sharma",$80k,$1.4M,$2.8M,Successful
Zenith HealthTech Solutions 379,Brazil,A leading Brazil-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2012-04-27,"Michael O'Connor, Sarah Jenkins",$382k,$2.0M,$7.6M,Successful
Nova HealthTech Wave 380,Brazil,A leading Brazil-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2022-04-06,"Rohan Das, Sanjay Gupta",$319k,$1.0M,$8.2M,Successful
Prime BioTech Labs 381,Israel,A leading Israel-based BioTech startup specializing in scalable and innovative solutions for the global market.,2013-05-26,"Elena Rossi, David Chen",$404k,$1.3M,$2.8M,Failed
Prime AgriTech Network 382,Brazil,A leading Brazil-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2012-11-19,"Li Wei, Kavita Reddy",$383k,$377k,$4.0M,Acquired
Prime PropTech Hub 383,Australia,A leading Australia-based PropTech startup specializing in scalable and innovative solutions for the global market.,2015-12-21,"Kavita Reddy, Sanjay Gupta",$307k,$1.3M,$10.3M,Acquired
Core EdTech Flow 384,France,A leading France-based EdTech startup specializing in scalable and innovative solutions for the global market.,2017-01-23,"Michael O'Connor, Priya Sharma, Aisha Khan",$468k,$1.6M,$2.7M,Acquired
Elite CleanTech Wave 385,India,A leading India-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2019-07-11,Sanjay Gupta,$286k,$1.4M,$10.1M,Failed
Zenith HealthTech Network 386,Israel,A leading Israel-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2018-08-13,"Priya Sharma, Anjali Rao, Rohan Das",$317k,$616k,$12.9M,Successful
NextGen AI/ML Wave 387,Japan,A leading Japan-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2020-12-14,Rohan Das,$173k,$541k,$7.2M,Successful
Nova CleanTech Hub 388,Japan,A leading Japan-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2016-04-23,"Aisha Khan, Kavita Reddy",$238k,$1.4M,$10.6M,Successful
Nova PropTech Hub 389,UAE,A leading UAE-based PropTech startup specializing in scalable and innovative solutions for the global market.,2014-09-28,"David Chen, Sanjay Gupta",$260k,$1.5M,$5.4M,Acquired
Apex AgriTech Flow 390,UAE,A leading UAE-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2015-01-05,"Vikram Singh, Kavita Reddy, Aisha Khan",$349k,$551k,$5.7M,Successful
Quantum SaaS Network 391,Japan,A leading Japan-based SaaS startup specializing in scalable and innovative solutions for the global market.,2014-06-09,"Michael O'Connor, Sarah Jenkins, Priya Sharma",$98k,$905k,$13.6M,Successful
Smart EdTech Labs 392,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,2017-02-26,Anjali Rao,$358k,$943k,$10.3M,Acquired
Smart Cybersecurity Technologies 393,UAE,A leading UAE-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2018-10-05,"Elena Rossi, Michael O'Connor, Sanjay Gupta",$142k,$1.4M,$10.6M,Successful
Quantum HealthTech Solutions 394,Australia,A leading Australia-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2013-12-12,"Priya Sharma, Vikram Singh, Emma Wilson",$212k,$1.7M,$13.2M,Successful
Elite FinTech Point 395,USA,A leading USA-based FinTech startup specializing in scalable and innovative solutions for the global market.,2010-05-14,"Priya Sharma, Anjali Rao",$206k,$1.9M,$12.0M,Successful
Zenith HealthTech Systems 396,France,A leading France-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2021-04-19,"Rohan Das, Michael O'Connor, Aisha Khan",$414k,$1.2M,$8.9M,Successful
NextGen EdTech Point 397,South Korea,A leading South Korea-based EdTech startup specializing in scalable and innovative solutions for the global market.,2012-12-26,"Michael O'Connor, Aisha Khan",$123k,$1.7M,$10.8M,Acquired
Global PropTech Systems 398,Singapore,A leading Singapore-based PropTech startup specializing in scalable and innovative solutions for the global market.,2021-08-21,Rohan Das,$179k,$1.6M,$6.6M,Successful
NextGen PropTech Systems 399,Japan,A leading Japan-based PropTech startup specializing in scalable and innovative solutions for the global market.,2013-02-16,Anjali Rao,$129k,$258k,$13.1M,Failed
Zenith HealthTech Labs 400,UK,A leading UK-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2019-07-24,"Michael O'Connor, Sarah Jenkins, Sanjay Gupta",$407k,$1.8M,$12.5M,Acquired
Apex SaaS Labs 401,Australia,A leading Australia-based SaaS startup specializing in scalable and innovative solutions for the global market.,2016-09-15,"Arjun Mehta, Priya Sharma",$285k,$1.4M,$11.8M,Successful
NextGen AgriTech Systems 402,Canada,A leading Canada-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2010-07-21,Vikram Singh,$328k,$1.2M,$3.1M,Acquired
Smart SaaS Flow 403,France,A leading France-based SaaS startup specializing in scalable and innovative solutions for the global market.,2010-12-12,"Rohan Das, Sanjay Gupta, David Chen",$279k,$254k,$11.5M,Successful
Smart E-commerce Nexus 404,Singapore,A leading Singapore-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2017-10-19,"Li Wei, Kavita Reddy",$360k,$267k,$10.6M,Acquired
